kda,win
1.27273,0
4.66667,1
1.5,0
2.09091,1
1.58333,0
2.28571,1
1.9,0
2.09091,0
10.6667,1
3.25,1
1.08333,0
4.8,1
1.5,0
8,1
0.333333,0
1.8,0
9,1
2.5,0
3.4,1
2.33333,0
5,1
8,1
1.33333,0
8.75,0
2.33333,1
3.5,0
2.83333,1
4,0
2.4,1
3,0
3.42857,1
1.57143,0
6.33333,1
3.2,0
3.66667,1
5.2,1
1.44444,0
9.66667,1
0.727273,0
1.75,0
2.83333,1
5,1
0.4,0
3.42857,1
1.33333,0
1,0
15,1
5,1
0.75,0
3.75,0
2,1
5,1
0.666667,0
1.8,0
1.71429,1
2.25,0
2.14286,1
3.33333,1
2.33333,0
1.8,1
1.75,0
4.5,1
1.16667,0
6.75,1
0.727273,0
2.2,1
2,0
5.5,1
4.16667,0
1.18182,0
4.2,1
15,1
0.375,0
6,1
1,0
11,1
1.09091,0
4,0
2,1
4,1
1.6,0
0,0
2,1
2,1
2.33333,0
7,1
1.57143,0
1.63636,1
1,0
1.85714,0
4,1
13,1
0.571429,0
3,1
2,0
24,1
1.66667,0
6,1
0.714286,0
4.6,1
1.625,0
31,1
1.77778,0
3.875,1
2.1,0
11,1
0.142857,0
2,0
5.6,1
1.33333,0
9,1
26,1
2.5,0
6.25,1
1.875,0
3,0
7,1
1.7,0
4.25,1
4.33333,1
1.33333,0
1.125,0
5.33333,1
6,1
3,0
2.28571,1
2.33333,0
1,0
11,1
6,1
3.75,0
2.6,1
1.875,0
3.33333,0
4,1
24,1
1.4,0
3.5,1
2.25,0
3,1
2.77778,0
4.75,1
2,0
2.42857,1
1.42857,0
1.8,0
11,1
0.555556,0
6,1
2.75,1
3.25,0
6,1
1.2,0
2,1
1.2,0
3.33333,0
2.42857,1
1.75,0
13,1
1.36364,0
8.33333,1
0.444444,0
15,1
2.5,0
1.66667,1
3.25,1
1.14286,0
2,1
1.09091,0
2.75,0
2.3,1
7,0
9,1
3.5,1
1.38462,0
0.428571,0
26,1
2.14286,0
6,1
2.33333,1
2.66667,0
1.42857,0
3,1
4,1
2,0
8,1
0.666667,0
2.25,0
4.4,1
2.25,0
2.25,1
3,1
1.66667,0
0.666667,0
4.66667,1
1.8,0
2.69231,1
6.5,1
1.125,0
1.8,0
5.25,1
3.5,1
1,0
3.2,1
1.25,0
1.33333,0
10.5,1
2.5,0
1.85714,1
3.83333,1
2.85714,0
4,1
1.14286,0
4.25,1
1.42857,0
0.9,0
16,1
1.625,0
8,1
14,1
2.2,0
2.57143,0
3,1
17,1
2.2,0
2.33333,1
0.4,0
3.71429,1
0.25,0
12,1
0.75,0
5,1
1,0
1,0
4.75,1
1.14286,0
4.5,1
1.75,0
3,1
2.33333,0
3.75,1
1.375,0
5,1
0.428571,0
6,1
1.75,0
2.66667,1
6,1
0.571429,0
4.66667,1
1.33333,0
0.142857,0
5,1
6.5,1
1,0
1.57143,0
2.6,1
8,1
0.5,0
6.66667,1
2.2,0
1.16667,0
5,1
1.88889,1
2.5,0
4,1
2.5,0
1.625,1
1.06667,0
1.09091,0
4.2,1
4,1
5.2,0
2.66667,1
1.5,0
9.5,0
2.71429,1
2.5,1
3.125,0
23,1
0.875,0
4,0
6,1
2.33333,0
1.625,1
1.8,0
12,1
2,0
10,1
2.16667,1
0.888889,0
8,1
1.16667,0
10,1
0.777778,0
2,0
4.83333,1
1.875,0
6.5,1
5,1
3.5,0
2.57143,0
4.8,1
4.75,1
1.22222,0
2.44444,0
8,1
0.333333,0
4.5,1
1.41667,0
2.33333,1
2.28571,0
3.28571,1
9.5,1
0.6,0
7,1
1.11111,0
1.33333,1
3.14286,0
3.2,0
4.6,1
2.625,0
2.69231,1
3.57143,0
2.28571,1
3,1
2.2,0
1.5,0
1.54545,1
0.2,0
8,1
0.75,0
7,1
3,1
1.66667,0
3,0
3.71429,1
2.16667,0
4,1
2.66667,0
20,1
4.2,0
4.14286,1
2,0
4.5,1
15.5,1
1.66667,0
3.33333,0
5.2,1
5,1
1.83333,0
2.375,0
4.75,1
3,0
2,1
1.66667,0
2.66667,1
3.75,1
1.2,0
5.6,1
1,0
2.57143,1
1.5,0
11,1
0.25,0
3.83333,1
2,0
1,0
2.33333,1
3.6,1
2.33333,0
12,1
1.875,0
3.33333,1
2.4,0
0.25,0
5,1
5.66667,1
1.8,0
9,1
1,0
7,1
0.285714,0
11,1
1,0
5.66667,1
1,0
2.83333,1
1.22222,0
11.5,1
1.75,0
2,0
13,1
0.25,0
10,1
1.4,0
2.75,1
10,1
1,0
5.5,1
0.5,0
13,1
0.333333,0
1.8,1
2.33333,0
9.5,1
1.7,0
7,1
0.5,0
1.54545,1
15,0
1.42857,0
3.6,1
2.8,1
2,0
5,1
0.25,0
10.5,1
1,0
9,1
0.333333,0
4,1
2.5,0
3.71429,1
3.25,0
4.25,1
2.5,0
4,0
1.55556,1
1,0
32,1
2.22222,0
6,1
3.71429,1
2.875,0
10,1
0.25,0
9,1
0.25,0
29,1
0.454545,0
1.16667,0
4,1
2,0
4,1
12,1
0.333333,0
3.8,1
1.33333,0
9.5,1
0.857143,0
0.333333,0
3.5,1
1.5,0
11,1
8,1
2,0
11,1
1.5,0
1.25,0
3.83333,1
6,1
2.14286,0
10.5,1
0.625,0
2.71429,1
2.14286,0
15.5,1
0.9,0
4.25,1
0.545455,0
1.57143,0
7,1
2.25,0
4.5,1
7.66667,1
0.8,0
1.27273,0
4.8,1
1.66667,1
5.5,0
2.16667,1
2.28571,0
5,1
1.33333,0
1.5,0
9.5,1
0.875,0
6.8,1
3.6,1
2.33333,0
2.33333,1
5,0
1.5,0
13.5,1
1.25,0
4.33333,1
4.33333,1
3.2,0
16,1
0.166667,0
1.625,1
3.66667,0
2,1
1.83333,0
4.25,0
2.66667,1
3,1
1.4,0
1.6,0
15,1
1.125,0
21,1
5,1
0.2,0
2,1
0.923077,0
6,1
1,0
2.9,0
3.625,1
0.666667,0
2.5,1
3.25,1
2.375,0
2.5,0
4.4,1
22,1
1,0
16,1
2,0
1.5,0
2.125,1
3.2,1
2.25,0
3.2,1
0.75,0
0,0
